iter	Passed	Remaining
669	993	489
670	994	487
671	996	486
672	997	484
673	999	483
674	1001	482
675	1006	482
676	1007	480
677	1008	479
678	1010	477
679	1011	476
680	1013	474
681	1014	473
682	1017	472
683	1019	470
684	1020	469
685	1022	467
686	1023	466
687	1025	464
688	1026	463
689	1031	463
690	1033	462
691	1036	461
692	1038	460
693	1041	459
694	1043	457
695	1044	456
696	1046	454
697	1047	453
698	1049	451
699	1050	450
700	1052	448
701	1053	447
702	1054	445
703	1056	444
704	1057	442
705	1059	441
706	1060	439
707	1061	437
708	1064	436
709	1065	435
710	1067	433
711	1068	432
712	1070	430
713	1071	429
714	1073	427
715	1074	426
716	1076	424
717	1077	423
718	1081	422
719	1082	420
720	1083	419
721	1085	417
722	1086	416
723	1088	414
724	1089	413
725	1091	411
726	1092	410
727	1095	409
728	1097	407
729	1098	406
730	1100	404
731	1101	403
732	1103	401
733	1104	400
734	1105	398
735	1106	396
736	1107	395
737	1108	393
738	1112	392
739	1113	391
740	1114	389
741	1115	387
742	1116	386
743	1116	384
744	1117	382
745	1118	380
746	1119	379
747	1120	377
748	1121	375
749	1122	374
750	1124	372
751	1125	371
752	1126	369
753	1127	367
754	1129	366
755	1131	365
756	1133	363
757	1134	362
758	1136	360
759	1137	359
760	1140	358
761	1141	356
762	1143	355
763	1144	353
764	1146	352
765	1147	350
766	1149	349
767	1151	347
768	1152	346
769	1155	345
770	1156	343
771	1158	342
772	1159	340
773	1160	338
774	1161	337
775	1162	335
776	1163	333
777	1164	332
778	1164	330
779	1165	328
780	1166	327
781	1167	325
782	1171	324
783	1172	323
784	1173	321
785	1174	319
786	1175	318
787	1176	316
788	1177	314
789	1178	313
790	1179	311
791	1180	309
792	1181	308
793	1181	306
794	1182	305
795	1184	303
796	1185	301
797	1186	300
798	1187	298
799	1188	297
800	1189	295
801	1190	293
802	1191	292
803	1192	290
804	1193	289
805	1194	287
806	1195	285
807	1196	284
808	1197	282
809	1198	281
810	1200	279
811	1202	278
812	1203	276
813	1204	275
814	1205	273
815	1206	272
816	1207	270
817	1208	268
818	1209	267
819	1210	265
820	1211	264
821	1212	262
822	1213	260
823	1215	259
824	1216	257
825	1217	256
826	1218	254
827	1219	253
828	1220	251
829	1221	250
830	1222	248
831	1223	246
832	1224	245
833	1225	243
834	1225	242
835	1226	240
836	1227	239
837	1230	237
838	1232	236
839	1233	234
840	1234	233
841	1235	231
842	1236	230
843	1236	228
844	1237	227
845	1238	225
846	1239	223
847	1240	222
848	1241	220
849	1242	219
850	1244	217
851	1245	216
852	1246	214
853	1247	213
854	1248	211
855	1249	210
856	1250	208
857	1251	207
858	1252	205
859	1253	204
860	1254	202
861	1255	200
862	1256	199
863	1257	197
864	1258	196
865	1262	195
866	1263	193
867	1264	192
868	1265	190
869	1266	189
870	1267	187
871	1268	186
872	1269	184
873	1270	183
874	1271	181
875	1272	180
876	1273	178
877	1274	177
878	1276	175
879	1277	174
880	1278	172
881	1278	171
882	1279	169
883	1280	168
884	1281	166
885	1282	165
886	1283	163
887	1284	162
888	1285	160
889	1286	159
890	1287	157
891	1289	156
892	1290	154
893	1291	153
894	1292	151
895	1293	150
896	1294	148
897	1295	147
898	1296	145
899	1297	144
900	1298	142
901	1299	141
902	1300	139
903	1301	138
904	1302	136
905	1303	135
906	1305	133
907	1307	132
908	1308	130
909	1309	129
910	1309	127
911	1310	126
912	1311	125
913	1312	123
914	1313	122
915	1314	120
916	1315	119
917	1316	117
918	1317	116
919	1321	114
920	1322	113
921	1323	111
922	1324	110
923	1325	108
924	1326	107
925	1326	106
926	1327	104
927	1328	103
928	1329	101
929	1330	100
930	1331	98
931	1332	97
932	1334	95
933	1335	94
934	1336	92
935	1337	91
936	1338	90
937	1339	88
938	1340	87
939	1341	85
940	1342	84
941	1343	82
942	1344	81
943	1345	79
944	1346	78
945	1347	76
946	1349	75
947	1350	74
948	1351	72
949	1352	71
950	1353	69
951	1354	68
952	1355	66
953	1356	65
954	1357	63
955	1358	62
956	1359	61
957	1360	59
958	1361	58
959	1362	56
960	1362	55
961	1366	53
962	1367	52
963	1368	51
964	1369	49
965	1370	48
966	1371	46
967	1372	45
968	1373	43
969	1374	42
970	1375	41
971	1376	39
972	1377	38
973	1378	36
974	1381	35
975	1382	33
976	1383	32
977	1384	31
978	1385	29
979	1386	28
980	1387	26
981	1388	25
982	1389	24
983	1390	22
984	1391	21
985	1392	19
986	1394	18
987	1395	16
988	1396	15
989	1397	14
990	1399	12
991	1400	11
992	1401	9
993	1402	8
994	1403	7
995	1404	5
996	1404	4
997	1406	2
998	1406	1
999	1407	0
